AEther Searcher	乙太探寻客
AEther Tradewinds	乙太贸易风
AEtherspouts	乙太龙卷
Abandon Hope	弃绝希望
Abandon Reason	背弃理性
Abandoned Outpost	荒废哨站
Abandoned Sarcophagus	遭弃石椁
Abattoir Ghoul	屠宰场食尸鬼
Abbey Gargoyles	修道院石像鬼
Abbey Griffin	修道院狮鹫
Abbey Matron	修道院舍监
Abbot of Keral Keep	科瑞尔要塞僧长
Abduction	绑架
Aberrant Researcher	变体研究员
Abeyance	中止
Abhorrent Overlord	乖戾督军
Abjure	毒誓
Abolish	废止
Abolisher of Bloodline	血脉破弃体
Abomination	憎恨之兽
Abomination of Gudul	谷渡憎恨兽
Aboroth	阿布洛斯
Aboshan's Desire	阿博申的愿望
Aboshan, Cephalid Emperor	鱆皇阿博申
About Face	面对面
Abrade	风化侵蚀
Abrupt Decay	突发衰败
Absolute Grace	绝对美善
Absolute Law	绝对规律
Absolver Thrull	赦罪索尔兽
Absorb	吸收
Absorb Vis	吸取维质
Abstruse Interference	玄奥干预
Abu Ja'far	阿布·贾法尔
Abuna Acolyte	高僧随从
Abuna's Chant	高僧吟颂
Abundance	丰衣足食
Abundant Growth	丰足成长
Abundant Maw	千足蛭
Abyssal Gatekeeper	深渊守门者
Abyssal Horror	深渊惊惧兽
Abyssal Hunter	深渊猎手
Abyssal Nightstalker	深渊夜潜魔
Abyssal Nocturnus	深渊惧影
Abyssal Persecutor	深渊虐魔
Abyssal Specter	深渊幽灵
Abzan Advantage	阿布赞式强体
Abzan Ascendancy	阿布赞霸权
Abzan Banner	阿布赞战旗
Abzan Battle Priest	阿布赞战斗僧侣
Abzan Beastmaster	阿布赞驯兽师
Abzan Charm	阿布赞护符
Abzan Falconer	阿布赞训隼兵
Abzan Guide	阿布赞向导
Abzan Kin-Guard	阿布赞族卫
Abzan Runemark	阿布赞符印
Abzan Skycaptain	阿布赞空队长
Academy Elite	学院精英
Academy Raider	学院劫徒
Academy Rector	学院教务长
Academy Researchers	学院研究员
Academy Ruins	大学院废墟
Accelerate	加速
Accelerated Mutation	加速变异
Acceptable Losses	可容许的损失
Accomplished Automaton	高明机械兽
Accorder Paladin	轮驻军神圣武士
Accorder's Shield	轮驻军之盾
Accumulated Knowledge	累积的知识
Accursed Centaur	受诅的半人马
Accursed Horde	受诅尸群
Accursed Spirit	厄运鬼魂
Accursed Witch	受诅巫婆
Acid Rain	酸雨
Acid Web Spider	酸网蜘蛛
Acid-Spewer Dragon	酸息巨龙
Acidic Dagger	酸液匕首
Acidic Slime	酸液黏菌
Acidic Sliver	酸液裂片妖
Acidic Soil	酸土
Acolyte of Xathrid	札兹离侍僧
Acolyte of the Inferno	炼狱侍僧
Acolyte's Reward	侍僧的报偿
Acorn Catapult	橡实发射器
Acorn Harvest	橡实收成
Acquire	掌握
Acridian	阿克里地树虫
Acrobatic Maneuver	杂耍计略
Act of Aggression	侵略行为
Act of Authority	权威法令
Act of Heroism	英勇义举
Act of Treason	叛行
Act on Impulse	逞性妄为
Active Volcano	活火山
Ad Nauseam	倒胃口
Adamaro, First to Desire	始欲仇麻吕
Adanto Vanguard	艾唐托先锋
Adanto, the First Fort	首砦艾唐托
Adaptive Automaton	适境机械兽
Adaptive Snapjaw	适境猛颚兽
Adarkar Sentinel	阿达卡哨兵
Adarkar Unicorn	阿达卡独角兽
Adarkar Valkyrie	阿达卡女武神
Adarkar Wastes	阿达卡荒野
Adarkar Windform	阿达卡风影
Adder-Staff Boggart	蛇杖波尬
Addle	昏乱
Admiral Beckett Brass	贝克蒂霸司总帅
Admonition Angel	告诫天使
Adorned Pouncer	佩饰扑击猫
Adriana, Captain of the Guard	侍卫队长亚卓安娜
Adriana’s Valor	亚卓安娜之勇
Adun Oakenshield	橡盾亚登
Advance Scout	高阶斥侯
Advanced Hoverguard	高等空卫
Advanced Stitchwing	高等缝翼兽
Advantageous Proclamation	昭告先机
Advent of the Wurm	亚龙降临
Adventurers' Guildhouse	冒险者公会小屋
Adventuring Gear	历险配备
Adverse Conditions	不利情况
Advice from the Fae	仙儿建言
Advocate of the Beast	野兽拥护人
Aegis Angel	庇护天使
Aegis Automaton	卫护机械兽
Aegis of Honor	荣耀的庇护
Aegis of the Gods	庇佑神使
Aegis of the Meek	驯良的庇护
Aeolipile	汽转球
Aeon Chronicler	亘古纪年者
Aerathi Berserker	依瑞西狂战士
Aerial Caravan	空中商队
Aerial Formation	空中列阵
Aerial Guide	翔空向导
Aerial Maneuver	空中计略
Aerial Modification	翔空改装
Aerial Predation	空中猎捕
Aerial Responder	翔空援兵
Aerial Volley	对空齐射
Aerie Bowmasters	龙巢神弓手
Aerie Mystics	巢居秘教徒
Aerie Ouphes	巢居奥夫
Aerie Worshippers	巢居朝拜者
Aeronaut Admiral	空行统帅
Aeronaut Tinkerer	空行修补匠
Aesthir Glider	艾斯鹰滑翔翼
Aether Adept	乙太专家
Aether Barrier	乙太障壁
Aether Burst	乙太爆发
Aether Charge	乙太冲锋
Aether Chaser	乙太追逐客
Aether Figment	乙太拟体
Aether Flash	乙太闪光
Aether Gale	乙太狂风
Aether Herder	乙太牧人
Aether Hub	乙太枢纽
Aether Inspector	乙太检查官
Aether Meltdown	乙太熔毁
Aether Membrane	乙太护膜
Aether Mutation	乙太突变
Aether Poisoner	乙太投毒师
Aether Rift	乙太裂隙
Aether Shockwave	乙太震波
Aether Snap	乙太骤变
Aether Spellbomb	乙太咒击弹
Aether Sting	乙太刺触
Aether Storm	乙太风暴
Aether Swooper	乙太攫击兵
Aether Theorist	乙太理论师
Aether Tide	乙太之潮
Aether Tradewinds	乙太贸易风
Aether Vial	乙太精瓶
Aether Web	乙太网
Aetherborn Marauder	乙太种劫掠者
Aetherflame Wall	乙太焰墙
Aetherflux Reservoir	乙太流贮库
Aethergeode Miner	乙太岩矿工
Aetherize	乙太化
Aetherling	乙太精怪
Aethermage's Touch	乙太法师之触
Aetherplasm	乙太原质怪
Aethersnatch	乙太窃咒
Aethersnipe	乙太空靶
Aethersphere Harvester	乙太层收集机
Aethersquall Ancient	乙太风祖怪
Aetherstorm Roc	乙太暴洛克鸟
Aetherstream Leopard	乙太流猎豹
Aethertide Whale	乙太潮巨鲸
Aethertorch Renegade	乙太炬乱匠
Aethertow	乙太拖行
Aetherwind Basker	乙太风浴蜥
Aetherworks Marvel	乙太厂奇械
Affa Guard Hound	艾法守卫犬
Affa Protector	艾法卫护兵
Afflict	折磨
Afflicted Deserter	受苦逃亡者
Afiya Grove	阿菲雅树丛
Afterlife	来生
Aftershock	余震
Agadeem Occultist	艾格丁神秘学者
Ageless Entity	长生祥瑞
Ageless Sentinels	长生哨兵
Agent of Acquisitions	征收密探
Agent of Erebos	厄睿柏斯的密探
Agent of Horizons	地平线密探
Agent of Masks	假面密探
Agent of Shauku	刹酷密探
Agent of Stromgald	史卓古得密探
Agent of the Fates	命运密探
Aggravate	惹恼
Aggravated Assault	急躁的突袭
Aggression	侵略
Aggressive Mining	大举掘藏
Aggressive Urge	攻性驱策
Agility	机敏
Agonizing Demise	惨痛伤亡
Agonizing Memories	惨痛的回忆
Agony Warp	苦痛歪曲
Agoraphobia	惧旷症
